Size,List,Vector,Map,HashMap
1,4.801501455285635e-2,4.317561464385348e-2,5.7927640892853204e-2,8.054384649871668e-2
2,0.10314660502779212,8.770325759387185e-2,0.15058083552488502,0.18339573940816434
3,0.1712452898471965,0.14660207247061322,0.2168153411632926,0.297110997268447
4,0.2754294997978085,0.21683993641104563,0.3325335770871293,0.4156452747248634
5,0.3875756037281729,0.29908641889525384,0.4205016021244297,0.531420538777284
6,0.5225802130073915,0.4076386360159508,0.49810797141640295,0.6487153251985618
7,0.6867798340123937,0.5271991723464601,0.5663728204344516,0.7673149104949908
8,0.8373895172444972,0.6579411017061022,0.7095574932882365,0.8751542194699674
9,0.9985856212891049,0.8068729930634366,0.791510422971962,0.9929077232366129
10,1.168556484564511,0.9121794596936812,0.9906709088328608,1.1328106758592604
11,1.3537899135328502,1.0344929490579893,1.1975616487698104,1.2829515783721819
12,1.570024507857806,1.155617474900022,1.410198621626612,1.4216139960603364
13,1.774756296830497,1.3223234966287587,1.6203062329162745,1.6381317091634906
14,2.071268667174086,1.5025229763505907,1.8755676801468617,1.750349028067414
15,2.3174323421938845,1.7081656769329405,2.1930102969959435,1.8600974881662153
16,2.5466512633833345,1.868071929536274,2.4092376794581876,2.089534626685162
17,2.8866168773480347,2.0834332591704965,2.6504393807623994,2.174403803147899
18,3.16894153857402,2.306594775140803,2.91353688009371,2.3005971951835926
19,3.4866983107468053,2.5520232919938484,3.1549220843054853,2.4299626924008804
20,3.760160346375635,2.745906144375482,3.386231122201508,2.604277160976856
21,4.1412513419003805,3.0171493999296572,3.645386583442228,2.710709465004479
22,4.438475263130578,3.315822452479666,3.9109747779187645,2.8906903396422656
23,4.885171378995912,3.559982751691818,4.165839785245537,2.977798225254505
24,5.224702455104467,3.9121572665795012,4.438786174707028,3.170951932076373
25,5.610559232167221,4.208543877223828,4.749355532481488,3.285219151633841
26,6.065520427731303,4.445657710867594,5.019949303305608,3.441457405927125
27,6.5161147412183835,4.748178099906983,5.2350696070873965,3.327114698742414
28,6.813542422230182,5.020014455306923,5.583892418126872,3.5106552969858154
29,7.230706086415761,5.377162911882088,5.846314521394751,3.6710117278351744
30,7.746819440968748,5.728050054064066,6.113811650338468,3.7322890614312128
31,8.210701431184967,6.12336661764765,6.438877918186927,3.953568474086357
32,8.69429654668269,6.49263752942672,6.7625528401734645,3.9973238690995925
33,9.285686308493055,6.884280032628439,7.079980512230797,4.148568924942062
34,9.781780317844799,7.314658720714503,7.394875259988063,4.247896977701299
35,10.377934239872378,7.722966886706743,7.778507179696401,4.362431848420639
36,10.96376800726601,8.111594626915283,8.086309006797745,4.486626606924433
37,11.485729725134682,8.706216997312962,8.397060418812366,4.6497518522270305
38,12.100011357265595,8.983081168968047,8.79520496447649,4.768703951923121
39,12.710414555731147,9.51188894676617,9.245258417554192,4.871442012467755
40,13.332710243601332,9.986347273824673,9.503107131364445,5.024899441773586
41,14.041002510405587,10.468605486475736,9.803383674669778,5.092769895066535
42,14.683277685675787,10.973170983539578,10.151272317358467,5.201059394784744
43,15.32529459138067,11.502108280328443,10.452238756646105,5.331194918689486
44,16.03766868417268,12.043217142815484,10.750361025817059,5.49697756063316
45,16.77276567676139,12.500948446823902,11.053810568517692,5.61037110611584
46,17.565637839312366,13.077542266956488,11.376741046286465,5.782442204170898
47,18.29110344090222,13.569520875125178,11.648918773981308,5.884064850024798
48,18.97030708200786,14.193755997854609,11.983234098840459,5.986395779262961
49,19.76713520783022,14.735117076278579,12.230512083513744,6.126839323865983
50,20.609080608096157,15.41236268045031,12.520583697512642,6.16910692326904
